id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link;keywords
12243;5A8;medium_airport;Aleknagik / New Airport;5,92826E+11;-1,58618E+11;66;NA;US;US-AK;Aleknagik;yes;5A8;WKK;5A8;;https://en.wikipedia.org/wiki/Aleknagik_Airport;
332240;AF-0005;medium_airport;Khost International Airport;33284605;6980734;4204;AS;AF;AF-KHO;Khost;no;OAKS;KHT;;;;
3;AGGH;large_airport;Honiara International Airport;-9428;160054993;28;OC;SB;SB-GU;Honiara;yes;AGGH;HIR;;;https://en.wikipedia.org/wiki/Honiara_International_Airport;Henderson Field
4;AGGM;medium_airport;Munda Airport;-832797;157263;10;OC;SB;SB-WE;Munda;yes;AGGM;MUA;;;https://en.wikipedia.org/wiki/Munda_Airport;
312371;AHJ;medium_airport;Hongyuan Airport;3253154;10235224;11600;AS;CN;CN-51;Ngawa (Hongyuan);no;ZUHY;AHJ;;;https://en.wikipedia.org/wiki/Hongyuan_Airport;Aba
8;ANYN;medium_airport;Nauru International Airport;-547458;166919006;22;OC;NR;NR-14;Yaren District;yes;ANYN;INU;;;https://en.wikipedia.org/wiki/Nauru_International_Airport;ANAU
336951;AQBC;medium_airport;Boulder Clay Runway;-74739373;16403539;672;AN;AQ;AQ-U-A;Zucchelli Station;no;AQBC;;;;https://en.wikipedia.org/wiki/Zucchelli_Station;
336953;AT03;medium_airport;Concordia Skyway;-75103278;12335825;10725;AN;AQ;AQ-U-A;Concordia Station;no;AT03;;;;https://en.wikipedia.org/wiki/Concordia_Station;
336959;AT28;medium_airport;Vostok Skiway;-78466139;10684825;11447;AN;AQ;AQ-U-A;Vostok Station;no;AT28;;;;https://en.wikipedia.org/wiki/Vostok_Station;
314558;AXF;medium_airport;Alxa Left Banner Bayanhot Airport;3874831;10558858;4560;AS;CN;CN-15;Bayanhot;yes;ZBAL;AXF;;;https://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport;
53;AYBK;medium_airport;Buka Airport;-5,42232E+16;1,54673E+16;11;OC;PG;PG-NSB;Buka Island;yes;AYBK;BUA;;;https://en.wikipedia.org/wiki/Buka_Airport;
54;AYCH;medium_airport;Chimbu Airport;-6,02429E+15;1,44971E+15;4974;OC;PG;PG-CPK;Kundiawa;yes;AYCH;CMU;;;https://en.wikipedia.org/wiki/Chimbu_Airport;
55;AYDU;medium_airport;Daru Airport;-908676;143207993;20;OC;PG;PG-WPD;Daru;yes;AYDU;DAU;;;https://en.wikipedia.org/wiki/Daru_Airport;
56;AYGA;medium_airport;Goroka Airport;-6,08169E+15;1,45392E+11;5282;OC;PG;PG-EHG;Goronka;yes;AYGA;GKA;;;https://en.wikipedia.org/wiki/Goroka_Airport;
